Date,Pair,Interval,Indicator
2020-05-21 20:00:48+00:00,ZRXUSDT,4h,0.618 Fibonacci retracement
2020-05-21 19:45:23+00:00,DATABTC,15m,Near Horizontal Support
2020-05-21 19:01:00+00:00,XMRUSDT,15m,RSI Bullish Divergence
2020-05-21 19:01:00+00:00,ETCUSDT,15m,RSI Bullish Divergence
2020-05-21 19:01:00+00:00,ZRXBTC,15m,RSI Extremely Oversold
2020-05-21 19:01:00+00:00,NEOBTC,15m,Near Horizontal Support
2020-05-21 19:01:00+00:00,DASHUSDT,15m,RSI Bullish Divergence
2020-05-21 19:01:00+00:00,XTZUSDT,15m,RSI Bullish Divergence
2020-05-21 19:01:00+00:00,FETUSDT,15m,RSI Bullish Divergence
2020-05-21 19:01:00+00:00,EOSUSDT,15m,RSI Bullish Divergence
2020-05-21 19:01:00+00:00,TNTBTC,15m,RSI Bullish Divergence
2020-05-21 19:01:00+00:00,XRPUSDT,15m,RSI Bullish Divergence
2020-05-21 19:01:00+00:00,NEOUSDT,15m,RSI Bullish Divergence
2020-05-21 19:01:00+00:00,OGNUSDT,15m,RSI Bullish Divergence
2020-05-21 19:01:00+00:00,BCHUSDT,15m,RSI Bullish Divergence
2020-05-21 19:01:00+00:00,ADABTC,15m,RSI Bullish Divergence
2020-05-21 19:01:00+00:00,ALGOUSDT,15m,RSI Bullish Divergence
2020-05-21 19:01:00+00:00,VETUSDT,15m,RSI Bullish Divergence
2020-05-21 19:01:00+00:00,MATICUSDT,15m,RSI Bullish Divergence
2020-05-21 19:01:00+00:00,TRXUSDT,15m,RSI Bullish Divergence
2020-05-21 19:01:00+00:00,ONEUSDT,15m,RSI Bullish Divergence
2020-05-21 19:01:00+00:00,BNBUSDT,15m,RSI Bullish Divergence
2020-05-21 19:01:00+00:00,IOTAUSDT,15m,RSI Bullish Divergence
2020-05-21 19:01:00+00:00,LINKUSDT,15m,RSI Bullish Divergence
2020-05-21 19:00:47+00:00,NEOBTC,1h,Near Horizontal Support
2020-05-21 19:00:47+00:00,NEOUSDT,1h,RSI Extremely Oversold
2020-05-21 19:00:47+00:00,VETUSDT,1h,RSI Extremely Oversold
2020-05-21 19:00:47+00:00,TRXUSDT,1h,RSI Extremely Oversold
2020-05-21 19:00:47+00:00,BTCUSDT,1h,RSI Extremely Oversold
2020-05-21 19:00:47+00:00,ZRXUSDT,1h,RSI Extremely Oversold
2020-05-21 19:00:47+00:00,IOTAUSDT,1h,RSI Extremely Oversold
2020-05-21 19:00:47+00:00,WINUSDT,1h,RSI Extremely Oversold
2020-05-21 19:00:47+00:00,ZRXBTC,1h,Near Horizontal Support
2020-05-21 18:45:31+00:00,QTUMUSDT,15m,RSI Bullish Divergence
2020-05-21 18:45:31+00:00,BTCUSDT,15m,RSI Bullish Divergence
2020-05-21 18:45:31+00:00,LTCBTC,15m,RSI Bearish Divergence
2020-05-21 18:15:38+00:00,BTTUSDT,15m,RSI Bullish Divergence
2020-05-21 18:15:38+00:00,ETHUSDT,15m,RSI Bullish Divergence
2020-05-21 18:15:38+00:00,ZRXUSDT,15m,RSI Bullish Divergence
2020-05-21 18:15:38+00:00,ERDUSDT,15m,RSI Bullish Divergence
2020-05-21 18:00:47+00:00,NEOUSDT,1h,Near Horizontal Support
2020-05-21 18:00:47+00:00,EOSUSDT,1h,RSI Extremely Oversold
2020-05-21 18:00:47+00:00,XRPUSDT,1h,RSI Extremely Oversold
2020-05-21 18:00:47+00:00,ETHUSDT,1h,RSI Extremely Oversold
2020-05-21 18:00:47+00:00,ETCUSDT,1h,RSI Extremely Oversold
