Date,Pair,Interval,Indicator
2020-05-14 18:30:16+00:00,OMGBTC,15m,Potential Bearish MACD cross
2020-05-14 18:30:16+00:00,ZRXBTC,15m,Potential Bearish MACD cross
2020-05-14 18:25:17+00:00,MATICBTC,5m,Potential Bearish MACD cross
2020-05-14 18:25:17+00:00,OGNBTC,5m,Potential Bearish MACD cross
2020-05-14 18:25:17+00:00,INSBTC,5m,Potential Bearish MACD cross
2020-05-14 18:20:17+00:00,BANDBTC,5m,Stochastics Oversold
2020-05-14 18:20:17+00:00,MATICBTC,5m,Potential Bearish MACD cross
2020-05-14 18:20:17+00:00,INSBTC,5m,Potential Bearish MACD cross
2020-05-14 18:15:18+00:00,RENBTC,5m,Stochastics Oversold
2020-05-14 18:15:18+00:00,ARNBTC,5m,Potential Bullish MACD cross
2020-05-14 18:15:18+00:00,BNBBTC,5m,Potential Bullish MACD cross
2020-05-14 18:15:18+00:00,LENDBTC,5m,Potential Bullish MACD cross
2020-05-14 18:15:16+00:00,COTIBTC,15m,Potential Bullish MACD cross
2020-05-14 18:15:16+00:00,XMRBTC,15m,Potential Bullish MACD cross
2020-05-14 18:15:16+00:00,OMGBTC,15m,Potential Bearish MACD cross
2020-05-14 18:10:17+00:00,ZRXBTC,5m,Stochastics Oversold
2020-05-14 18:10:17+00:00,EDOBTC,5m,Stochastics Oversold
2020-05-14 18:05:17+00:00,TNTBTC,5m,Potential Bullish MACD cross
2020-05-14 18:05:17+00:00,ETCBTC,5m,Potential Bullish MACD cross
2020-05-14 18:00:37+00:00,MCOBTC,1h,RSI Oversold
2020-05-14 18:00:37+00:00,OGNBTC,1h,Stochastics Oversold
2020-05-14 18:00:37+00:00,INSBTC,1h,Potential Bullish MACD cross
2020-05-14 18:00:37+00:00,ADABTC,1h,Potential Bullish MACD cross
2020-05-14 18:00:37+00:00,NANOBTC,1h,Potential Bullish MACD cross
2020-05-14 18:00:37+00:00,BNBBTC,1h,Potential Bullish MACD cross
2020-05-14 18:00:37+00:00,ATOMBTC,1h,Potential Bullish MACD cross
2020-05-14 18:00:37+00:00,XMRBTC,1h,Potential Bullish MACD cross
2020-05-14 18:00:33+00:00,NEOBTC,2h,RSI Oversold
2020-05-14 18:00:33+00:00,ETHBTC,2h,RSI Oversold
2020-05-14 18:00:33+00:00,DASHBTC,2h,RSI Oversold
2020-05-14 18:00:33+00:00,XLMBTC,2h,RSI Oversold
2020-05-14 18:00:33+00:00,DASHBTC,2h,Stochastics Oversold
2020-05-14 18:00:33+00:00,NASBTC,2h,Stochastics Oversold
2020-05-14 18:00:33+00:00,TRXBTC,2h,Stochastics Oversold
2020-05-14 18:00:33+00:00,ETCBTC,2h,Stochastics Oversold
2020-05-14 18:00:33+00:00,LTCBTC,2h,Stochastics Oversold
2020-05-14 18:00:33+00:00,BCHBTC,2h,Stochastics Oversold
2020-05-14 18:00:33+00:00,LINKBTC,2h,Potential Bullish MACD cross
2020-05-14 18:00:33+00:00,IOTABTC,2h,Potential Bullish MACD cross
2020-05-14 18:00:33+00:00,LENDBTC,2h,Potential Bullish MACD cross
2020-05-14 18:00:33+00:00,BTCUSDT,2h,Potential Bearish MACD cross
2020-05-14 18:00:23+00:00,TRXBTC,5m,Stochastics Oversold
2020-05-14 18:00:23+00:00,NEOBTC,5m,Potential Bullish MACD cross
2020-05-14 18:00:23+00:00,TNTBTC,5m,Potential Bullish MACD cross
2020-05-14 18:00:23+00:00,ALGOBTC,5m,Potential Bullish MACD cross
2020-05-14 18:00:23+00:00,LTOBTC,5m,Potential Bullish MACD cross
2020-05-14 18:00:23+00:00,AIONBTC,5m,Potential Bearish MACD cross
2020-05-14 18:00:21+00:00,MCOBTC,15m,Stochastics Oversold
2020-05-14 18:00:21+00:00,TRXBTC,15m,Stochastics Oversold
2020-05-14 18:00:21+00:00,BNBBTC,15m,Stochastics Oversold
2020-05-14 18:00:21+00:00,OGNBTC,15m,Potential Bullish MACD cross
2020-05-14 18:00:21+00:00,COTIBTC,15m,Potential Bullish MACD cross
2020-05-14 18:00:21+00:00,OMGBTC,15m,Potential Bearish MACD cross
2020-05-14 18:00:21+00:00,BNBBTC,15m,Potential Bearish MACD cross
2020-05-14 18:00:21+00:00,KAVABTC,15m,Potential Bearish MACD cross
2020-05-14 17:55:18+00:00,XLMBTC,5m,Stochastics Oversold
2020-05-14 17:55:18+00:00,OMGBTC,5m,Potential Bullish MACD cross
2020-05-14 17:55:18+00:00,ALGOBTC,5m,Potential Bullish MACD cross
2020-05-14 17:55:18+00:00,LTOBTC,5m,Potential Bullish MACD cross
2020-05-14 17:55:18+00:00,AIONBTC,5m,Potential Bearish MACD cross
2020-05-14 17:50:18+00:00,TRXBTC,5m,Potential Bullish MACD cross
2020-05-14 17:50:18+00:00,ALGOBTC,5m,Potential Bullish MACD cross
2020-05-14 17:50:18+00:00,QTUMBTC,5m,Potential Bullish MACD cross
2020-05-14 17:50:18+00:00,LRCBTC,5m,Potential Bearish MACD cross
2020-05-14 17:45:30+00:00,BATBTC,15m,Stochastics Oversold
2020-05-14 17:45:30+00:00,ALGOBTC,15m,Stochastics Oversold
2020-05-14 17:45:30+00:00,LTOBTC,15m,Stochastics Oversold
2020-05-14 17:45:30+00:00,MATICBTC,15m,Potential Bullish MACD cross
2020-05-14 17:45:30+00:00,OGNBTC,15m,Potential Bullish MACD cross
2020-05-14 17:45:30+00:00,RENBTC,15m,Potential Bullish MACD cross
2020-05-14 17:45:30+00:00,OMGBTC,15m,Potential Bearish MACD cross
2020-05-14 17:45:30+00:00,BNBBTC,15m,Potential Bearish MACD cross
2020-05-14 17:45:30+00:00,KAVABTC,15m,Potential Bearish MACD cross
2020-05-14 17:45:20+00:00,TNTBTC,5m,Stochastics Oversold
2020-05-14 17:40:19+00:00,LTOBTC,5m,Potential Bullish MACD cross
2020-05-14 17:40:19+00:00,ZRXBTC,5m,Potential Bearish MACD cross
2020-05-14 17:40:19+00:00,BANDBTC,5m,Potential Bearish MACD cross
2020-05-14 17:35:19+00:00,NEOBTC,5m,RSI Oversold
2020-05-14 17:35:19+00:00,ADABTC,5m,Stochastics Oversold
2020-05-14 17:35:19+00:00,LTCBTC,5m,Stochastics Oversold
2020-05-14 17:35:19+00:00,LTOBTC,5m,Potential Bullish MACD cross
2020-05-14 17:35:19+00:00,BANDBTC,5m,Potential Bearish MACD cross
2020-05-14 17:35:19+00:00,LRCBTC,5m,Potential Bearish MACD cross
2020-05-14 17:30:25+00:00,NEOBTC,15m,RSI Oversold
2020-05-14 17:30:25+00:00,BATBTC,15m,RSI Oversold
2020-05-14 17:30:25+00:00,BCHBTC,15m,RSI Oversold
2020-05-14 17:30:25+00:00,LINKBTC,15m,Stochastics Oversold
2020-05-14 17:30:25+00:00,NASBTC,15m,Stochastics Oversold
2020-05-14 17:30:25+00:00,XTZBTC,15m,Stochastics Oversold
2020-05-14 17:30:25+00:00,ZECBTC,15m,Stochastics Oversold
2020-05-14 17:30:25+00:00,LTCBTC,15m,Stochastics Oversold
2020-05-14 17:30:25+00:00,XLMBTC,15m,Stochastics Oversold
2020-05-14 17:30:25+00:00,QTUMBTC,15m,Potential Bearish MACD cross
2020-05-14 17:30:19+00:00,ETHBTC,5m,RSI Oversold
2020-05-14 17:30:19+00:00,ETHBTC,5m,Stochastics Oversold
2020-05-14 17:30:19+00:00,BATBTC,5m,Stochastics Oversold
2020-05-14 17:30:19+00:00,OMGBTC,5m,Stochastics Oversold
2020-05-14 17:30:19+00:00,KAVABTC,5m,Stochastics Oversold
2020-05-14 17:30:19+00:00,LENDBTC,5m,Stochastics Oversold
2020-05-14 17:30:19+00:00,LTOBTC,5m,Potential Bullish MACD cross
2020-05-14 17:30:19+00:00,ZRXBTC,5m,Potential Bearish MACD cross
2020-05-14 17:30:19+00:00,NANOBTC,5m,Potential Bearish MACD cross
2020-05-14 17:30:19+00:00,BANDBTC,5m,Potential Bearish MACD cross
2020-05-14 17:30:19+00:00,LRCBTC,5m,Potential Bearish MACD cross
2020-05-14 17:25:17+00:00,NEOBTC,5m,RSI Extremely Oversold
2020-05-14 17:25:17+00:00,ALGOBTC,5m,RSI Oversold
2020-05-14 17:25:17+00:00,CHZBTC,5m,Stochastics Oversold
2020-05-14 17:25:17+00:00,BNBBTC,5m,Stochastics Oversold
2020-05-14 17:25:17+00:00,TNTBTC,5m,Potential Bearish MACD cross
2020-05-14 17:25:17+00:00,NANOBTC,5m,Potential Bearish MACD cross
2020-05-14 17:25:17+00:00,ARNBTC,5m,Potential Bearish MACD cross
2020-05-14 17:25:17+00:00,EDOBTC,5m,Potential Bearish MACD cross
2020-05-14 17:25:17+00:00,XRPBTC,5m,Potential Bearish MACD cross
2020-05-14 17:25:17+00:00,POWRBTC,5m,Potential Bearish MACD cross
2020-05-14 17:25:17+00:00,DATABTC,5m,Potential Bearish MACD cross
2020-05-14 17:25:17+00:00,WRXBTC,5m,Potential Bearish MACD cross
2020-05-14 17:25:17+00:00,LRCBTC,5m,Potential Bearish MACD cross
2020-05-14 17:20:18+00:00,NEOBTC,5m,RSI Oversold
2020-05-14 17:20:18+00:00,XTZBTC,5m,RSI Oversold
2020-05-14 17:20:18+00:00,ETCBTC,5m,Stochastics Oversold
2020-05-14 17:20:18+00:00,ATOMBTC,5m,Stochastics Oversold
2020-05-14 17:20:18+00:00,ETHBTC,5m,Potential Bullish MACD cross
2020-05-14 17:20:18+00:00,DASHBTC,5m,Potential Bullish MACD cross
2020-05-14 17:20:18+00:00,LTOBTC,5m,Potential Bullish MACD cross
2020-05-14 17:20:18+00:00,TNTBTC,5m,Potential Bearish MACD cross
2020-05-14 17:20:18+00:00,ZRXBTC,5m,Potential Bearish MACD cross
2020-05-14 17:20:18+00:00,EDOBTC,5m,Potential Bearish MACD cross
2020-05-14 17:15:21+00:00,ONTBTC,15m,Stochastics Oversold
2020-05-14 17:15:21+00:00,ETCBTC,15m,Stochastics Oversold
2020-05-14 17:15:18+00:00,LINKBTC,5m,Stochastics Oversold
2020-05-14 17:15:18+00:00,ETHBTC,5m,Potential Bullish MACD cross
2020-05-14 17:15:18+00:00,RLCBTC,5m,Potential Bullish MACD cross
2020-05-14 17:15:18+00:00,NANOBTC,5m,Potential Bearish MACD cross
2020-05-14 17:15:18+00:00,POWRBTC,5m,Potential Bearish MACD cross
2020-05-14 17:15:18+00:00,WRXBTC,5m,Potential Bearish MACD cross
2020-05-14 17:10:17+00:00,ZECBTC,5m,Stochastics Oversold
2020-05-14 17:10:17+00:00,KNCBTC,5m,Stochastics Oversold
2020-05-14 17:10:17+00:00,ALGOBTC,5m,Stochastics Oversold
2020-05-14 17:10:17+00:00,QTUMBTC,5m,Stochastics Oversold
2020-05-14 17:10:17+00:00,RLCBTC,5m,Potential Bullish MACD cross
2020-05-14 17:10:17+00:00,ICXBTC,5m,Potential Bullish MACD cross
2020-05-14 17:10:17+00:00,ADABTC,5m,Potential Bearish MACD cross
2020-05-14 17:10:17+00:00,ENJBTC,5m,Potential Bearish MACD cross
2020-05-14 17:05:17+00:00,DASHBTC,5m,Stochastics Oversold
2020-05-14 17:05:17+00:00,NASBTC,5m,Stochastics Oversold
2020-05-14 17:05:17+00:00,XTZBTC,5m,Stochastics Oversold
2020-05-14 17:05:17+00:00,XLMBTC,5m,Stochastics Oversold
2020-05-14 17:05:17+00:00,XMRBTC,5m,Stochastics Oversold
2020-05-14 17:05:17+00:00,ENGBTC,5m,Potential Bullish MACD cross
2020-05-14 17:05:17+00:00,ICXBTC,5m,Potential Bullish MACD cross
2020-05-14 17:05:17+00:00,LENDBTC,5m,Potential Bullish MACD cross
2020-05-14 17:05:17+00:00,THETABTC,5m,Potential Bearish MACD cross
2020-05-14 17:05:17+00:00,RVNBTC,5m,Potential Bearish MACD cross
2020-05-14 17:05:17+00:00,NASBTC,5m,Potential Bearish MACD cross
2020-05-14 17:05:17+00:00,ADABTC,5m,Potential Bearish MACD cross
2020-05-14 17:00:38+00:00,ZRXBTC,1h,Bullish Engulfing + RSI was Oversold
2020-05-14 17:00:38+00:00,ETHBTC,1h,RSI Oversold
2020-05-14 17:00:38+00:00,DASHBTC,1h,RSI Oversold
2020-05-14 17:00:38+00:00,ONTBTC,1h,RSI Oversold
2020-05-14 17:00:38+00:00,ETCBTC,1h,RSI Oversold
2020-05-14 17:00:38+00:00,LTCBTC,1h,RSI Oversold
2020-05-14 17:00:38+00:00,XLMBTC,1h,RSI Oversold
2020-05-14 17:00:38+00:00,QTUMBTC,1h,RSI Oversold
2020-05-14 17:00:38+00:00,DASHBTC,1h,Stochastics Oversold
2020-05-14 17:00:38+00:00,XRPBTC,1h,Stochastics Oversold
2020-05-14 17:00:38+00:00,KNCBTC,1h,Stochastics Oversold
2020-05-14 17:00:38+00:00,XLMBTC,1h,Stochastics Oversold
2020-05-14 17:00:38+00:00,BCHBTC,1h,Stochastics Oversold
2020-05-14 17:00:38+00:00,ENJBTC,1h,Stochastics Oversold
2020-05-14 17:00:38+00:00,LINKBTC,1h,Potential Bullish MACD cross
2020-05-14 17:00:38+00:00,ZECBTC,1h,Potential Bullish MACD cross
2020-05-14 17:00:38+00:00,NANOBTC,1h,Potential Bullish MACD cross
2020-05-14 17:00:38+00:00,EDOBTC,1h,Potential Bullish MACD cross
2020-05-14 17:00:38+00:00,BNBBTC,1h,Potential Bullish MACD cross
2020-05-14 17:00:38+00:00,ATOMBTC,1h,Potential Bullish MACD cross
2020-05-14 17:00:25+00:00,NEOBTC,15m,Stochastics Oversold
2020-05-14 17:00:25+00:00,DASHBTC,15m,Stochastics Oversold
2020-05-14 17:00:25+00:00,KNCBTC,15m,Stochastics Oversold
2020-05-14 17:00:25+00:00,XMRBTC,15m,Stochastics Oversold
2020-05-14 17:00:25+00:00,BATBTC,15m,Potential Bullish MACD cross
2020-05-14 17:00:25+00:00,TNTBTC,15m,Potential Bullish MACD cross
2020-05-14 17:00:25+00:00,ONTBTC,15m,Potential Bullish MACD cross
2020-05-14 17:00:25+00:00,CHZBTC,15m,Potential Bearish MACD cross
2020-05-14 17:00:22+00:00,ENGBTC,5m,Stochastics Oversold
2020-05-14 17:00:22+00:00,BCHBTC,5m,Stochastics Oversold
2020-05-14 17:00:22+00:00,RVNBTC,5m,Potential Bearish MACD cross
2020-05-14 17:00:22+00:00,NASBTC,5m,Potential Bearish MACD cross
2020-05-14 17:00:22+00:00,ADABTC,5m,Potential Bearish MACD cross
2020-05-14 17:00:22+00:00,BNBBTC,5m,Potential Bearish MACD cross
2020-05-14 16:55:17+00:00,LINKBTC,5m,Stochastics Oversold
2020-05-14 16:55:17+00:00,ENGBTC,5m,Potential Bullish MACD cross
2020-05-14 16:55:17+00:00,BNBBTC,5m,Potential Bearish MACD cross
2020-05-14 16:55:17+00:00,KAVABTC,5m,Potential Bearish MACD cross
2020-05-14 16:55:17+00:00,ALGOBTC,5m,Potential Bearish MACD cross
2020-05-14 16:50:18+00:00,RLCBTC,5m,RSI Oversold
2020-05-14 16:50:18+00:00,MCOBTC,5m,Stochastics Oversold
2020-05-14 16:50:18+00:00,ENGBTC,5m,Stochastics Oversold
2020-05-14 16:50:18+00:00,ENGBTC,5m,Potential Bullish MACD cross
2020-05-14 16:50:18+00:00,OMGBTC,5m,Potential Bearish MACD cross
2020-05-14 16:50:18+00:00,ONTBTC,5m,Potential Bearish MACD cross
2020-05-14 16:50:18+00:00,ALGOBTC,5m,Potential Bearish MACD cross
2020-05-14 16:50:18+00:00,QTUMBTC,5m,Potential Bearish MACD cross
2020-05-14 16:45:28+00:00,ETHBTC,15m,RSI Oversold
2020-05-14 16:45:28+00:00,RLCBTC,15m,RSI Oversold
2020-05-14 16:45:28+00:00,BATBTC,15m,Potential Bullish MACD cross
2020-05-14 16:45:28+00:00,ONTBTC,15m,Potential Bullish MACD cross
2020-05-14 16:45:28+00:00,NASBTC,15m,Potential Bullish MACD cross
2020-05-14 16:45:28+00:00,SNTBTC,15m,Potential Bullish MACD cross
2020-05-14 16:45:28+00:00,XRPBTC,15m,Potential Bullish MACD cross
2020-05-14 16:45:28+00:00,CHZBTC,15m,Potential Bearish MACD cross
2020-05-14 16:45:28+00:00,LTOBTC,15m,Potential Bearish MACD cross
2020-05-14 16:45:19+00:00,MATICBTC,5m,RSI Oversold
2020-05-14 16:45:19+00:00,DASHBTC,5m,Stochastics Oversold
2020-05-14 16:45:19+00:00,ENGBTC,5m,Potential Bullish MACD cross
2020-05-14 16:45:19+00:00,LINKBTC,5m,Potential Bearish MACD cross
2020-05-14 16:45:19+00:00,ONTBTC,5m,Potential Bearish MACD cross
2020-05-14 16:45:19+00:00,INSBTC,5m,Potential Bearish MACD cross
2020-05-14 16:45:19+00:00,ETCBTC,5m,Potential Bearish MACD cross
2020-05-14 16:45:19+00:00,EDOBTC,5m,Potential Bearish MACD cross
2020-05-14 16:45:19+00:00,LTCBTC,5m,Potential Bearish MACD cross
2020-05-14 16:45:19+00:00,ALGOBTC,5m,Potential Bearish MACD cross
2020-05-14 16:45:19+00:00,QTUMBTC,5m,Potential Bearish MACD cross
2020-05-14 16:40:18+00:00,NEOBTC,5m,Stochastics Oversold
2020-05-14 16:40:18+00:00,ETHBTC,5m,Stochastics Oversold
2020-05-14 16:40:18+00:00,ONTBTC,5m,Stochastics Oversold
2020-05-14 16:40:18+00:00,CHZBTC,5m,Stochastics Oversold
2020-05-14 16:40:18+00:00,IOTABTC,5m,Stochastics Oversold
2020-05-14 16:40:18+00:00,LENDBTC,5m,Stochastics Oversold
2020-05-14 16:40:18+00:00,COTIBTC,5m,Potential Bullish MACD cross
2020-05-14 16:40:18+00:00,LINKBTC,5m,Potential Bearish MACD cross
2020-05-14 16:40:18+00:00,TRXBTC,5m,Potential Bearish MACD cross
2020-05-14 16:40:18+00:00,XRPBTC,5m,Potential Bearish MACD cross
2020-05-14 16:40:18+00:00,ATOMBTC,5m,Potential Bearish MACD cross
2020-05-14 16:40:18+00:00,QTUMBTC,5m,Potential Bearish MACD cross
2020-05-14 16:35:17+00:00,ETHBTC,5m,RSI Extremely Oversold
2020-05-14 16:35:17+00:00,ETHBTC,5m,RSI Oversold
2020-05-14 16:35:17+00:00,RLCBTC,5m,RSI Oversold
2020-05-14 16:35:17+00:00,COTIBTC,5m,Potential Bullish MACD cross
2020-05-14 16:35:17+00:00,ICXBTC,5m,Potential Bearish MACD cross
2020-05-14 16:30:22+00:00,OGNBTC,15m,RSI Oversold
2020-05-14 16:30:22+00:00,ARPABTC,15m,RSI Oversold
2020-05-14 16:30:22+00:00,SNTBTC,15m,RSI Oversold
2020-05-14 16:30:22+00:00,ARPABTC,15m,Stochastics Oversold
2020-05-14 16:30:22+00:00,DASHBTC,15m,Potential Bullish MACD cross
2020-05-14 16:30:22+00:00,BATBTC,15m,Potential Bullish MACD cross
2020-05-14 16:30:22+00:00,ONTBTC,15m,Potential Bullish MACD cross
2020-05-14 16:30:22+00:00,SNTBTC,15m,Potential Bullish MACD cross
2020-05-14 16:30:22+00:00,XRPBTC,15m,Potential Bullish MACD cross
2020-05-14 16:30:22+00:00,LTCBTC,15m,Potential Bullish MACD cross
2020-05-14 16:30:22+00:00,BCHBTC,15m,Potential Bullish MACD cross
2020-05-14 16:30:22+00:00,LTOBTC,15m,Potential Bearish MACD cross
2020-05-14 16:30:18+00:00,OGNBTC,5m,RSI Oversold
2020-05-14 16:30:18+00:00,GXSBTC,5m,Stochastics Oversold
2020-05-14 16:30:18+00:00,COTIBTC,5m,Potential Bullish MACD cross
2020-05-14 16:25:18+00:00,OGNBTC,5m,Stochastics Oversold
2020-05-14 16:25:18+00:00,KNCBTC,5m,Potential Bullish MACD cross
2020-05-14 16:25:18+00:00,RENBTC,5m,Potential Bullish MACD cross
2020-05-14 16:25:18+00:00,OMGBTC,5m,Potential Bearish MACD cross
2020-05-14 16:20:17+00:00,KNCBTC,5m,Potential Bullish MACD cross
2020-05-14 16:20:17+00:00,RENBTC,5m,Potential Bullish MACD cross
2020-05-14 16:15:20+00:00,LTOBTC,5m,Stochastics Oversold
2020-05-14 16:15:20+00:00,RENBTC,5m,Potential Bullish MACD cross
2020-05-14 16:15:20+00:00,XMRBTC,5m,Potential Bullish MACD cross
2020-05-14 16:15:18+00:00,ENGBTC,15m,Stochastics Oversold
2020-05-14 16:15:18+00:00,RLCBTC,15m,Stochastics Oversold
2020-05-14 16:15:18+00:00,ARPABTC,15m,Potential Bullish MACD cross
2020-05-14 16:15:18+00:00,XRPBTC,15m,Potential Bullish MACD cross
2020-05-14 16:15:18+00:00,BCHBTC,15m,Potential Bullish MACD cross
2020-05-14 16:15:18+00:00,LRCBTC,15m,Potential Bullish MACD cross
2020-05-14 16:15:18+00:00,RLCBTC,15m,Potential Bearish MACD cross
2020-05-14 16:10:18+00:00,INSBTC,5m,Stochastics Oversold
2020-05-14 16:10:18+00:00,COTIBTC,5m,Stochastics Oversold
2020-05-14 16:10:18+00:00,RLCBTC,5m,Stochastics Oversold
2020-05-14 16:05:17+00:00,BATBTC,5m,RSI Bullish Divergence
2020-05-14 16:05:17+00:00,BATBTC,5m,RSI Oversold
2020-05-14 16:05:17+00:00,RENBTC,5m,Stochastics Oversold
2020-05-14 16:05:17+00:00,WAVESBTC,5m,Stochastics Oversold
2020-05-14 16:05:17+00:00,ARPABTC,5m,Potential Bearish MACD cross
2020-05-14 16:05:17+00:00,INSBTC,5m,Potential Bearish MACD cross
2020-05-14 16:05:17+00:00,XTZBTC,5m,Potential Bearish MACD cross
2020-05-14 16:01:08+00:00,ARPABTC,2h,Near Horizontal Support
2020-05-14 16:01:08+00:00,COTIBTC,2h,Near Horizontal Support
2020-05-14 16:01:08+00:00,XTZBTC,2h,RSI Extremely Oversold
2020-05-14 16:01:08+00:00,BATBTC,2h,RSI Oversold
2020-05-14 16:01:08+00:00,EOSBTC,2h,RSI Oversold
2020-05-14 16:01:08+00:00,ETCBTC,2h,RSI Oversold
2020-05-14 16:01:08+00:00,BNBBTC,2h,RSI Oversold
2020-05-14 16:01:08+00:00,ICXBTC,2h,RSI Oversold
2020-05-14 16:01:08+00:00,BTCUSDT,2h,RSI Overbought
2020-05-14 16:01:08+00:00,LRCBTC,2h,Stochastics Oversold
2020-05-14 16:01:08+00:00,ARNBTC,2h,Potential Bearish MACD cross
2020-05-14 16:00:59+00:00,MATICBTC,4h,Potential Bearish MACD cross
2020-05-14 16:00:59+00:00,MCOBTC,4h,Near Horizontal Support
2020-05-14 16:00:59+00:00,ONTBTC,4h,Near Horizontal Support
2020-05-14 16:00:59+00:00,ZECBTC,4h,Near Horizontal Support
2020-05-14 16:00:59+00:00,AIONBTC,4h,Near Horizontal Support
2020-05-14 16:00:59+00:00,ALGOBTC,4h,Near Horizontal Support
2020-05-14 16:00:59+00:00,WRXBTC,4h,Near Horizontal Support
2020-05-14 16:00:59+00:00,DASHBTC,4h,RSI Oversold
2020-05-14 16:00:59+00:00,ARPABTC,4h,RSI Oversold
2020-05-14 16:00:59+00:00,RVNBTC,4h,RSI Oversold
2020-05-14 16:00:59+00:00,NASBTC,4h,RSI Oversold
2020-05-14 16:00:59+00:00,BTCUSDT,4h,RSI Overbought
2020-05-14 16:00:59+00:00,OGNBTC,4h,Stochastics Oversold
2020-05-14 16:00:59+00:00,THETABTC,4h,Stochastics Oversold
2020-05-14 16:00:59+00:00,NASBTC,4h,Stochastics Oversold
2020-05-14 16:00:59+00:00,AIONBTC,4h,Stochastics Oversold
2020-05-14 16:00:59+00:00,KNCBTC,4h,Stochastics Oversold
2020-05-14 16:00:59+00:00,RENBTC,4h,Stochastics Oversold
2020-05-14 16:00:59+00:00,XLMBTC,4h,Stochastics Oversold
2020-05-14 16:00:59+00:00,ALGOBTC,4h,Stochastics Oversold
2020-05-14 16:00:59+00:00,XMRBTC,4h,Stochastics Oversold
2020-05-14 16:00:59+00:00,TNTBTC,4h,Potential Bullish MACD cross
2020-05-14 16:00:57+00:00,COTIBTC,1h,Near Horizontal Support
2020-05-14 16:00:57+00:00,NEOBTC,1h,RSI Oversold
2020-05-14 16:00:57+00:00,NASBTC,1h,RSI Oversold
2020-05-14 16:00:57+00:00,ZRXBTC,1h,RSI Oversold
2020-05-14 16:00:57+00:00,BNBBTC,1h,RSI Oversold
2020-05-14 16:00:57+00:00,ENJBTC,1h,RSI Oversold
2020-05-14 16:00:57+00:00,BTCUSDT,1h,RSI Overbought
2020-05-14 16:00:57+00:00,NEOBTC,1h,Stochastics Oversold
2020-05-14 16:00:57+00:00,ETHBTC,1h,Stochastics Oversold
2020-05-14 16:00:57+00:00,THETABTC,1h,Stochastics Oversold
2020-05-14 16:00:57+00:00,NASBTC,1h,Stochastics Oversold
2020-05-14 16:00:57+00:00,ZRXBTC,1h,Stochastics Oversold
2020-05-14 16:00:57+00:00,ADABTC,1h,Stochastics Oversold
2020-05-14 16:00:57+00:00,AIONBTC,1h,Stochastics Oversold
2020-05-14 16:00:57+00:00,BNBBTC,1h,Stochastics Oversold
2020-05-14 16:00:57+00:00,ICXBTC,1h,Stochastics Oversold
2020-05-14 16:00:57+00:00,LINKBTC,1h,Potential Bullish MACD cross
2020-05-14 16:00:57+00:00,ZECBTC,1h,Potential Bullish MACD cross
2020-05-14 16:00:57+00:00,CHZBTC,1h,Potential Bullish MACD cross
2020-05-14 16:00:57+00:00,QTUMBTC,1h,Potential Bullish MACD cross
2020-05-14 16:00:39+00:00,OGNBTC,15m,RSI Oversold
2020-05-14 16:00:39+00:00,RVNBTC,15m,Stochastics Oversold
2020-05-14 16:00:39+00:00,NANOBTC,15m,Stochastics Oversold
2020-05-14 16:00:39+00:00,RENBTC,15m,Stochastics Oversold
2020-05-14 16:00:39+00:00,XMRBTC,15m,Stochastics Oversold
2020-05-14 16:00:39+00:00,ENJBTC,15m,Stochastics Oversold
2020-05-14 16:00:39+00:00,ARPABTC,15m,Potential Bullish MACD cross
2020-05-14 16:00:39+00:00,POWRBTC,15m,Potential Bullish MACD cross
2020-05-14 16:00:39+00:00,LRCBTC,15m,Potential Bullish MACD cross
2020-05-14 16:00:39+00:00,EDOBTC,15m,Potential Bearish MACD cross
2020-05-14 16:00:39+00:00,RLCBTC,15m,Potential Bearish MACD cross
2020-05-14 16:00:27+00:00,OGNBTC,5m,RSI Oversold
2020-05-14 16:00:27+00:00,WRXBTC,5m,RSI Oversold
2020-05-14 16:00:27+00:00,ETHBTC,5m,Stochastics Oversold
2020-05-14 16:00:27+00:00,RVNBTC,5m,Stochastics Oversold
2020-05-14 16:00:27+00:00,ENJBTC,5m,Stochastics Oversold
2020-05-14 16:00:27+00:00,RLCBTC,5m,Potential Bullish MACD cross
2020-05-14 16:00:27+00:00,XTZBTC,5m,Potential Bearish MACD cross
2020-05-14 16:00:27+00:00,NANOBTC,5m,Potential Bearish MACD cross
2020-05-14 16:00:27+00:00,CHZBTC,5m,Potential Bearish MACD cross
2020-05-14 16:00:27+00:00,LENDBTC,5m,Potential Bearish MACD cross
2020-05-14 15:55:18+00:00,THETABTC,5m,RSI Oversold
2020-05-14 15:55:18+00:00,KNCBTC,5m,RSI Oversold
2020-05-14 15:55:18+00:00,LTCBTC,5m,Stochastics Oversold
2020-05-14 15:55:18+00:00,BNBBTC,5m,Stochastics Oversold
2020-05-14 15:55:18+00:00,WRXBTC,5m,Stochastics Oversold
2020-05-14 15:55:18+00:00,AIONBTC,5m,Potential Bullish MACD cross
2020-05-14 15:55:18+00:00,CHZBTC,5m,Potential Bearish MACD cross
2020-05-14 15:55:18+00:00,ALGOBTC,5m,Potential Bearish MACD cross
2020-05-14 15:50:19+00:00,NEOBTC,5m,Stochastics Oversold
2020-05-14 15:50:19+00:00,BATBTC,5m,Stochastics Oversold
2020-05-14 15:50:19+00:00,THETABTC,5m,Potential Bullish MACD cross
